--------------------------------------------------------------------------		
ORFs not available in the Yeast Deletion Collection  		
--------------------------------------------------------------------------		
ORF_name 	Gene_name                           	SGD_class
YJL127W-A	YJL127W-B                           	Dubious
YJL133C-A	                                    	Uncharacterized
YJL156W-A	                                    	Dubious
YJL197C-A	                                    	Dubious
YJL205C  	NCE101, YJL205C-A, YJL206C-A, NCE1  	Verified
YJL219W  	HXT9                                	Verified
YJL220W  	                                    	Dubious
YJL221C  	FSP2                                	Verified
YJL222W  	VTH2                                	Verified
YJL222W-A	                                    	Dubious
YJL222W-B	                                    	Dubious
YJL223C  	PAU1                                	Verified
YJL225C  	                                    	Uncharacterized
YJL225W-A	                                    	Dubious
YJR071W  	                                    	Dubious
YJR132W  	NMD5, KAP119                        	Verified
YJR136C  	                                    	Uncharacterized
YJR138W  	IML1                                	Verified
YJR140W-A	                                    	Dubious
YJR155W  	AAD10                               	Verified
YJR156C  	THI11                               	Verified
YJR157W  	                                    	Dubious
YJR158W  	HXT16                               	Verified
YJR159W  	SOR1, SDH1                          	Verified
YJR160C  	MPH3                                	Verified
YJR161C  	COS5                                	Verified
YJR162C  	                                    	Dubious
YKL023C-A	                                    	Uncharacterized
YKL065W-A	                                    	Uncharacterized
YKL100W-A	                                    	Dubious
YKL145W-A	                                    	Dubious
YKL156C-A	                                    	Dubious
YKL165C-A	                                    	Dubious
YKL183C-A	                                    	Uncharacterized
YKL219W  	COS9                                	Verified
YKL223W  	                                    	Dubious
YKL224C  	                                    	Uncharacterized
YKL225W  	                                    	Dubious
YKR075W-A	                                    	Dubious
YKR095W-A	PCC1                                	Verified
YLL019W-A	                                    	Dubious
YLL022C  	HIF1                                	Verified
YLL064C  	                                    	Uncharacterized
YLL065W  	GIN11                               	Dubious
YLL066C  	                                    	Uncharacterized
YLL066W-A	                                    	Dubious
YLL066W-B	                                    	Uncharacterized
YLL067C  	                                    	Uncharacterized
YLL067W-A	                                    	Dubious
YLR120W-A	                                    	Dubious
YLR146W-A	                                    	Uncharacterized
YLR149C-A	                                    	Dubious
YLR154C-G	                                    	Uncharacterized
YLR154C-H	                                    	Uncharacterized
YLR154W-A	YLR154W-C                           	Dubious
YLR154W-B	                                    	Dubious
YLR154W-C	TAR1, YLR154W-A                     	Verified
YLR154W-E	                                    	Dubious
YLR154W-F	                                    	Dubious
YLR155C  	ASP3-1, ASP3                        	Verified
YLR156C-A	                                    	Uncharacterized
YLR156W  	                                    	Uncharacterized
YLR157C  	ASP3-2, ASP3                        	Verified
YLR157C-C	                                    	Uncharacterized
YLR157W-D	YLR157W-A                           	Uncharacterized
YLR157W-E	YLR157W-B, YLR157W-C                	Uncharacterized
YLR158C  	ASP3-3, ASP3                        	Verified
YLR159C-A	                                    	Uncharacterized
YLR159W  	                                    	Uncharacterized
YLR160C  	ASP3-4, ASP3                        	Verified
YLR161W  	                                    	Uncharacterized
YLR162W  	                                    	Uncharacterized
YLR162W-A	                                    	Uncharacterized
YLR163W-A	                                    	Dubious
YLR222C-A	                                    	Dubious
YLR245C  	CDD1                                	Verified
YLR256W  	HAP1, CYP1                          	Verified
YLR286W-A	                                    	Dubious
YLR299C-A	                                    	Dubious
YLR301W  	                                    	Uncharacterized
YLR302C  	                                    	Dubious
YLR347W-A	                                    	Dubious
YLR364C-A	                                    	Dubious
YLR399W-A	                                    	Dubious
YLR411W  	CTR3                                	Verified
YLR437C-A	                                    	Dubious
YLR462W  	                                    	Uncharacterized
YLR463C  	                                    	Dubious
YLR464W  	                                    	Uncharacterized
YLR465C  	BSC3                                	Dubious
YLR466C-A	                                    	Dubious
YLR466C-B	                                    	Uncharacterized
YLR466W  	YRF1-4, YRF1                        	Verified
YLR467C-A	                                    	Dubious
YLR467W  	YRF1-5, YRF1                        	Verified
YML009C-A	YML010W-B, YML010C-B                	Dubious
YML009W-B	YML010W-A                           	Dubious
YML012C-A	YML013C-A                           	Dubious
YML031C-A	YML032C-A                           	Dubious
YML034C-A	YML035C-A                           	Dubious
YML047W-A	YML048W-A                           	Dubious
YML057C-A	YML058C-A                           	Dubious
YML094C-A	YML095C-A                           	Dubious
YML099W-A	YML100W-A                           	Dubious
YML101C-A	YML102C-A                           	Dubious
YML116W-A	YML117W-A                           	Dubious
YML132W  	COS3                                	Verified
YML133C  	                                    	Uncharacterized
YML133W-A	                                    	Dubious
YML133W-B	                                    	Dubious
YMR013C-A	                                    	Dubious
YMR030W-A	                                    	Uncharacterized
YMR046W-A	                                    	Dubious
YMR122W-A	                                    	Uncharacterized
YMR141W-A	                                    	Dubious
YMR158C-A	YMR158C-B                           	Uncharacterized
YMR158W-B	YMR158W-A                           	Dubious
YMR212C  	EFR3                                	Verified
YMR272W-A	                                    	Dubious
YMR307C-A	                                    	Dubious
YMR321C  	                                    	Uncharacterized
YMR323W  	ERR3                                	Verified
YMR324C  	                                    	Dubious
YMR325W  	                                    	Uncharacterized
YNL017C  	                                    	Dubious
YNL019C  	                                    	Uncharacterized
YNL033W  	                                    	Uncharacterized
YNL048W  	ALG11                               	Verified
YNL067W-A	YNL067W-B                           	Dubious
YNL097C-B	YNL097C-A                           	Uncharacterized
YNL097W-A	                                    	Dubious
YNL103W-A	                                    	Dubious
YNL144W-A	                                    	Dubious
YNL174W  	                                    	Dubious
YNL186W  	UBP10, DOT4                         	Verified
YNL337W  	                                    	Dubious
